,file,book,chapter,question,answer
1,bamidbar13,במדבר,13,שנים עשר נשלחו לתור את הארץ,True
2,bamidbar13,במדבר,13,המרגלים היו מראשי בני ישראל,True
4,bamidbar13,במדבר,13,משה לא שינה את שמו של הושע בן נון,False
5,bamidbar13,במדבר,13,"בין ההוראות, לבדיקת הארץ ,של משה  היה : טיב הארץ",True
6,bamidbar13,במדבר,13,"בין ההוראות, לבדיקת הארץ ,של משה לא היה: איזה אנשים חיים בה ",False
7,bamidbar13,במדבר,13,"בין ההוראות, לבדיקת הארץ ,של משה  היה: האם הערים מבוצרות",True
8,bamidbar13,במדבר,13,"בין ההוראות, לבדיקת הארץ ,של משה  היה: הביאו מפרי הארץ",True
9,bamidbar13,במדבר,13,"""ויבא עד חברון"" הכוונה ליהושע לבדו",False
10,bamidbar13,במדבר,13,"המרגלים הביאו איתם אשכול ענבים, מן הרימונים והתאנים",True
11,bamidbar13,במדבר,13,המרגלים חזרו אחרי 45 יום,False
12,bamidbar13,במדבר,13,המרגלים דיווחו שהארץ זבת חלב ודבש,True
13,bamidbar13,במדבר,13,"כלל חשוב: אם רוצים לשקר, קודם אומרים איזה אמת כדי להראות שאומרים אמת",True
14,bamidbar13,במדבר,13,המרגלים דיווחו שהעם בארץ מאוד חלש,False
15,bamidbar13,במדבר,13,המרגלים דיווחו שלא ראו ענקים בארץ,False
16,bamidbar13,במדבר,13,המרגלים דיווחו שהערים בארץ מאוד גדולות ומבוצרות,True
17,bamidbar13,במדבר,13,כלב הצליח להשתיק את העם כי כולם חשבו שידבר נגד משה,True
18,bamidbar13,במדבר,13,כלב טען: אנחנו נוכל לנצח ולכבוש,True
19,bamidbar13,במדבר,13,גם כל שאר המרגלים היו בדעת כלב,False
20,bamidbar13,במדבר,13,המרגלים טענו שבארץ מתים כל הזמן אנשים,True
21,bamidbar14,במדבר,14,טיעון ראשון של הבוכים: הלואי שהיינו מתים במדבר,True
22,bamidbar14,במדבר,14,טיעון שני של הבוכים: אם היינו מגיעים לארץ היינו ניצלים ממוות,False
23,bamidbar14,במדבר,14,אמרו אחד לשני: מחליטים לחזור למצרים,True
24,bamidbar14,במדבר,14,יהושע וכלב קרעו את בגדיהם,True
25,bamidbar14,במדבר,14,יהושע וכלב טענו: טובה הארץ מאוד מאוד,True
26,bamidbar14,במדבר,14,יהושע וכלב טענו: הכל תלוי ברצון ה',True
27,bamidbar14,במדבר,14,העם שמח מאוד על דברי יהושע וכלב,False
28,bamidbar14,במדבר,14,ה' רוצה להשמיד את ישראל בדבר,True
29,bamidbar14,במדבר,14,משה טוען לפני ה': העמים יאמרו שאינך מסוגל להביא את ישראל לארץ,True
30,bamidbar14,במדבר,14,ה' סולח לאחר שהוא שומע את ציטוט 13 המידות ממשה,True
31,bamidbar14,במדבר,14,"ה' מעניש, ע'י המתת כל יוצאי מצרים (מגיל 20), במדבר",True
32,bamidbar14,במדבר,14,גם כלב ויהושע ימותו במדבר,False
33,bamidbar14,במדבר,14,"כעונש, נקבעו 30 שנה לנדודי ישראל  במדבר",False
34,bamidbar14,במדבר,14,המרגלים מתו במגיפה,True
35,bamidbar14,במדבר,14,"כשהעם שומע את העונש, הוא מתאבל",True
36,bamidbar14,במדבר,14,"כשהעם שומע את העונש, הוא מחליט כן לעלות ולכבוש את הארץ",True
37,bamidbar14,במדבר,14,משה מעודד את העם להילחם בעמלקי והכנעני,False
38,bamidbar14,במדבר,14,ארון הברית היה בראש מחנה הלוחמים,False
39,bamidbar14,במדבר,14,הנצחון על העמלקי והכנעני היה גדול,False
40,bamidbar14,במדבר,14,מקום הקרב היה בחרמה,False
41,bamidbar15,במדבר,15,""" כִּי תָבֹאוּ אֶל אֶרֶץ מוֹשְׁבֹתֵיכֶם"", פירושו: המצוה הזאת יש לקיימה רק בבואכם לארץ",True
42,bamidbar15,במדבר,15,"על כל קרבן חייבים: לתת מנחה, סולת, שמן ויין",True
43,bamidbar15,במדבר,15,גר שהתגייר אינו חייב במנחות,False
44,bamidbar15,במדבר,15,"חובת הפרשת חלה, חלה כבר במדבר",False
45,bamidbar15,במדבר,15,כמות ההפרשה של חלה מהעיסה 10%,False
46,bamidbar15,במדבר,15,""" וְהָיָה אִם מֵעֵינֵי הָעֵדָה נֶעֶשְׂתָה לִשְׁגָגָה.."" הכוונה אם כל ישראל חטאו לא בכוונה",False
47,bamidbar15,במדבר,15,""" לְרֵיחַ נִיחֹחַ לַידֹוָד"", פרושו שיהיה לנחת רוח לפני ה'",True
48,bamidbar15,במדבר,15,"אדם שחטא בשגגה, מביא עז בת שנה לקרבן חטאת",True
49,bamidbar15,במדבר,15,"החוטא בכוונה, עושה בזיון למצוות ה'",True
50,bamidbar15,במדבר,15,"החוטא בכוונה, הוא מקלל את ה'",True
51,bamidbar15,במדבר,15,החוטא בכוונה דינו סקילה,False
52,bamidbar15,במדבר,15,"""כרת"" הוא מות בידי שמיים",False
53,bamidbar15,במדבר,15,"חטאו של המקושש, היה, שעבד בפורים",False
54,bamidbar15,במדבר,15,במקושש התקיים הכלל: היתרו בו שלא יעשה,True
55,bamidbar15,במדבר,15,במקושש התקיים הכלל: היו עדים למעשה,True
