file_name,book,chapter,question
bamidbar19,במדבר פרק יט,במדבר פרק יט,קל להסביר את הנימוקים למצות פרה אדומה
bamidbar19,במדבר פרק יט,במדבר פרק יט,"המילה ""חוקה"" פירושה גזירה מלפני ה'"
bamidbar19,במדבר פרק יט,במדבר פרק יט,"""אדומה תמימה"" , פירושו : כולה אדומה ללא שערה אחת בצבע אחר"
bamidbar19,במדבר פרק יט,במדבר פרק יט,הפרה האדומה צריכה להיות לפחות עם פצע אחד
bamidbar19,במדבר פרק יט,במדבר פרק יט,הפרה האדומה חייבים לחרוש איתה
bamidbar19,במדבר פרק יט,במדבר פרק יט,כדי לשחוט את הפרה האדומה יש להוציאה מחוץ לכל המחנות
bamidbar19,במדבר פרק יט,במדבר פרק יט,את הפרה חייבים לשרוף
bamidbar19,במדבר פרק יט,במדבר פרק יט,"לתוך הפרה השרופה צריך לזרוק: עץ ארז, אזוב ותולעת שני"
bamidbar19,במדבר פרק יט,במדבר פרק יט,הכהנים שמטפלים בהכנת הפרה לא צריכים לטבול יותר לטהרתם
bamidbar19,במדבר פרק יט,במדבר פרק יט,את אפר הפרה אוסף איש טהור
bamidbar19,במדבר פרק יט,במדבר פרק יט,"האיש הטהור שאסף את האפר, נטמא עד הערב"
bamidbar19,במדבר פרק יט,במדבר פרק יט,אפר הפרה נשמר לצורך עשיית מי חטאת
bamidbar19,במדבר פרק יט,במדבר פרק יט,"""מי חטאת"" הכוונה: כל מי שחטא מתיזים עליו מים שמעורבים באפר הפרה"
bamidbar19,במדבר פרק יט,במדבר פרק יט,"אדם שנגע במת נעשה טמא לשבעה ימים, אסור לו להיכנס למחנה שכינה"
bamidbar19,במדבר פרק יט,במדבר פרק יט,"טמא מת ביום השביעי לטומאתו מזים עליו ""מי חטאת"""
bamidbar19,במדבר פרק יט,במדבר פרק יט,אם נפטר מישהו בבית כל מי ומה שנמצא בבית נעשה טמא
bamidbar19,במדבר פרק יט,במדבר פרק יט,"אם יש כלי חרס מכוסה ונעול היטב בחדר בו מת אדם, תוכן הכלי לא נטמא"
bamidbar19,במדבר פרק יט,במדבר פרק יט,אדם הנוגע במת בשטח פתוח לא נטמא
