file_name,book,chapter,question
bamidbar13,במדבר,13,שנים עשר נשלחו לתור את הארץ
bamidbar13,במדבר,13,המרגלים היו מראשי בני ישראל
bamidbar13,במדבר,13,המרגלים יצאו מהר סיני
bamidbar13,במדבר,13,משה לא שינה את שמו של הושע בן נון
bamidbar13,במדבר,13,"בין ההוראות, לבדיקת הארץ ,של משה  היה : טיב הארץ"
bamidbar13,במדבר,13,"בין ההוראות, לבדיקת הארץ ,של משה לא היה: איזה אנשים חיים בה "
bamidbar13,במדבר,13,"בין ההוראות, לבדיקת הארץ ,של משה  היה: האם הערים מבוצרות"
bamidbar13,במדבר,13,"בין ההוראות, לבדיקת הארץ ,של משה  היה: הביאו מפרי הארץ"
bamidbar13,במדבר,13,"""ויבא עד חברון"" הכוונה ליהושע לבדו"
bamidbar13,במדבר,13,"המרגלים הביאו איתם אשכול ענבים, מן הרימונים והתאנים"
bamidbar13,במדבר,13,המרגלים חזרו אחרי 45 יום
bamidbar13,במדבר,13,המרגלים דיווחו שהארץ זבת חלב ודבש
bamidbar13,במדבר,13,"כלל חשוב: אם רוצים לשקר, קודם אומרים איזה אמת כדי להראות שאומרים אמת"
bamidbar13,במדבר,13,המרגלים דיווחו שהעם בארץ מאוד חלש
bamidbar13,במדבר,13,המרגלים דיווחו שלא ראו ענקים בארץ
bamidbar13,במדבר,13,המרגלים דיווחו שהערים בארץ מאוד גדולות ומבוצרות
bamidbar13,במדבר,13,כלב הצליח להשתיק את העם כי כולם חשבו שידבר נגד משה
bamidbar13,במדבר,13,כלב טען: אנחנו נוכל לנצח ולכבוש
bamidbar13,במדבר,13,גם כל שאר המרגלים היו בדעת כלב
bamidbar13,במדבר,13,המרגלים טענו שבארץ מתים כל הזמן אנשים
bamidbar14,במדבר,14,טיעון ראשון של הבוכים: הלואי שהיינו מתים במדבר
bamidbar14,במדבר,14,טיעון שני של הבוכים: אם היינו מגיעים לארץ היינו ניצלים ממוות
bamidbar14,במדבר,14,אמרו אחד לשני: מחליטים לחזור למצרים
bamidbar14,במדבר,14,יהושע וכלב קרעו את בגדיהם
bamidbar14,במדבר,14,יהושע וכלב טענו: טובה הארץ מאוד מאוד
bamidbar14,במדבר,14,יהושע וכלב טענו: הכל תלוי ברצון ה'
bamidbar14,במדבר,14,העם שמח מאוד על דברי יהושע וכלב
bamidbar14,במדבר,14,ה' רוצה להשמיד את ישראל בדבר
bamidbar14,במדבר,14,משה טוען לפני ה': העמים יאמרו שאינך מסוגל להביא את ישראל לארץ
bamidbar14,במדבר,14,ה' סולח לאחר שהוא שומע את ציטוט 13 המידות ממשה
bamidbar14,במדבר,14,"ה' מעניש, ע'י המתת כל יוצאי מצרים (מגיל 20), במדבר"
bamidbar14,במדבר,14,גם כלב ויהושע ימותו
bamidbar14,במדבר,14,"כעונש, נקבעו 30 שנה לנדודי ישראל  במדבר"
bamidbar14,במדבר,14,המרגלים מתו במגיפה
bamidbar14,במדבר,14,"כשהעם שומע את העונש, הוא מתאבל"
bamidbar14,במדבר,14,"כשהעם שומע את העונש, הוא מחליט כן לעלות ולכבוש את הארץ"
bamidbar14,במדבר,14,משה מעודד את העם להילחם בעמלקי והכנעני
bamidbar14,במדבר,14,ארון הברית היה בראש מחנה הלוחמים
bamidbar14,במדבר,14,הנצחון על העמלקי והכנעני היה גדול
bamidbar14,במדבר,14,מקום הקרב היה בחרמה
bamidbar15,במדבר,15,""" כִּי תָבֹאוּ אֶל אֶרֶץ מוֹשְׁבֹתֵיכֶם"", פירושו: המצוה הזאת יש לקיימה רק בבואכם לארץ"
bamidbar15,במדבר,15,"על כל קרבן חייבים: לתת מנחה, סולת, שמן ויין"
bamidbar15,במדבר,15,גר שהתגייר אינו חייב במנחות
bamidbar15,במדבר,15,"חובת הפרשת חלה, חלה כבר במדבר"
bamidbar15,במדבר,15,כמות ההפרשה של חלה מהעיסה 10%
bamidbar15,במדבר,15,""" וְהָיָה אִם מֵעֵינֵי הָעֵדָה נֶעֶשְׂתָה לִשְׁגָגָה.."" הכוונה אם כל ישראל חטאו לא בכוונה"
bamidbar15,במדבר,15,""" לְרֵיחַ נִיחֹחַ לַידֹוָד"", פרושו שיהיה לנחת רוח לפני ה'"
bamidbar15,במדבר,15,"אדם שחטא בשגגה, מביא עז בת שנה לקרבן חטאת"
bamidbar15,במדבר,15,"החוטא בכוונה, עושה בזיון למצוות ה'"
bamidbar15,במדבר,15,"החוטא בכוונה, הוא מקלל את ה'"
bamidbar15,במדבר,15,החוטא בכוונה דינו סקילה
bamidbar15,במדבר,15,"""כרת"" הוא מות בידי שמיים"
bamidbar15,במדבר,15,"חטאו של המקושש, היה, שעבד בפורים"
bamidbar15,במדבר,15,במקושש התקיים הכלל: היתרו בו שלא יעשה
bamidbar15,במדבר,15,במקושש התקיים הכלל: היו עדים למעשה
bamidbar15,במדבר,15,"משה לא ידע באיזה צורה להרוג את המקושש, אבל הוא ידע שדינו מות"
bamidbar15,במדבר,15,ה' אמר שיש לתלות את המקושש
bamidbar15,במדבר,15,ציצית בגימטריה = 600
bamidbar15,במדבר,15,"עם 8 חוטים ו 5 קשרים, הציצית  =  לתריג מצוות (613), לכן דרכה זוכרים את כל מצוות ה'"
bamidbar15,במדבר,15,בפרשת ציצית זוכרים גם את יציאת מצרים
bamidbar16,במדבר,16,קורח היה משבט לוי
bamidbar16,במדבר,16,דתן ואבירם היו גם הם משבט לוי
bamidbar16,במדבר,16,"200 השתתפו במרד, בנוסף לקורח דתן ואבירם"
bamidbar16,במדבר,16,און בן פלת התחיל במרד אך לא המשיך
bamidbar16,במדבר,16,"משה הציע , כדי לראות במי בחר ה' שכל אחד מהמורדים יקריב טלה"
bamidbar16,במדבר,16,"משה אומר לבני לוי המורדים , אין לכם סיבה למרוד הרי ה' בחר בכם"
bamidbar16,במדבר,16,"משה הראה שאין לחסוך במאמצים כדי לבטל מחלוקת, הוא ניסה עם דתן ואבירם בדרכי שלום"
bamidbar16,במדבר,16,דתן ואבירם מגיבים בשמחה על דברי משה ומוכנים להשלים איתו
bamidbar16,במדבר,16,"הטענות של דתן ואבירם: לא הגענו לארץ ישראל, אנחנו נמות במדבר, אתה משתלט עלינו"
bamidbar16,במדבר,16,משה כועס ומבקש מה' לשמוע לתפילת המורדים ולקבל את קטורתם
bamidbar16,במדבר,16,משה כועס וטוען שלקח רק חמישה חמורים מישראל
bamidbar16,במדבר,16,"משה מכנס את כל המורדים, ומציע שלכל אחד תהיה מחתה עם קטורת"
bamidbar16,במדבר,16,קורח הקהיל את כל העדה אל פתח אוהל מועד
bamidbar16,במדבר,16,"ה' ירד בעמוד ענן על אוהל מועד, ורצה להשמיד את כל עם ישראל"
bamidbar16,במדבר,16,משה ואהרן הסכימו שה' ישמיד את ישראל
bamidbar16,במדבר,16,ה' אומר למשה שירחיק את העם מאוהלי קורח דתן ואבירם
bamidbar16,במדבר,16,"קורח, דתן ואבירם עמדו זקופים בפתח אוהליהם עם בני משפחותיהם"
bamidbar16,במדבר,16,"האדמה נבקעה כמו שאמר משה , ובלעה את המורדים על משפחותיהם"
bamidbar16,במדבר,16,כשעם ישראל ראה את בקיעת האדמה הוא מחא כפיים
bamidbar16,במדבר,16,אש שיצאה מלםני ה' שרפה את 250 מקריבי הקטורת
bamidbar17,במדבר,17,תפקידו של אלעזר אחרי המרד היה לאסוף את מחתות המורדים
bamidbar17,במדבר,17,את המחתות חיבר אלעזר לשולחן
bamidbar17,במדבר,17,מטרת המחתות להזכיר שאסור לאיש שאינו מבני אהרן לעבוד במקדש
bamidbar17,במדבר,17,""" אַתֶּם הֲמִתֶּם אֶת עַם ה’"": התלונן העם על משה ואהרן
"
bamidbar17,במדבר,17,""" הֵרֹמּוּ מִתּוֹךְ הָעֵדָה הַזֹּאת וַאֲכַלֶּה אֹתָם כְּרָגַע"", ה' מתכוין להשמיד את ישראל"
bamidbar17,במדבר,17,משה ואהרן נופלים על פניהם
bamidbar17,במדבר,17,"לפי הנחיית משה,  אהרן לוקח מחתה עם קטורת כדי להפסיק את המגיפה"
bamidbar17,במדבר,17,אהרן רץ אל תוך הקהל כי ראה שהתחילה המגיפה
bamidbar17,במדבר,17,תפקיד המחתה היה לשרוף את הפצעים של הניפגעים
bamidbar17,במדבר,17,אהרן נעמד בין החיים למתים וכך כיפר על בני ישראל והפסיק את המגיפה
bamidbar17,במדבר,17,במגיפה מתו 40 אלף ו 700
bamidbar17,במדבר,17,"כדי להוכיח שאהרן נבחר על ידי ה', ההוכחה בוצעה באמצעות המטות "
bamidbar17,במדבר,17,המטות נלקחו מ 12 נשיאי השבטים
bamidbar17,במדבר,17,על כל מטה רשמו את שם אשת נשיא השבט
bamidbar17,במדבר,17,הסימן: בעל המטה שיפרח הוא שנבחר ע'י ה'
bamidbar17,במדבר,17,המטה פרח והוציא אשכול ענבים 
bamidbar17,במדבר,17,המטה שפרח היה של נשיא שבט יהודה 
bamidbar17,במדבר,17,"המטה שפרח הונח לזכרון לפני העדות, כדי שלא יתלוננו יותר"
bamidbar17,במדבר,17,""" הֵן גָּוַעְנוּ אָבַדְנוּ כֻּלָּנוּ אָבָדְנוּ"" אמרו בני ישראל כששמעו שהמן יפסיק לרדת"
bamidbar17,במדבר,17,""" כֹּל הַקָּרֵב הַקָּרֵב אֶל מִשְׁכַּן ה’ יָמוּת"", אמר משה"
bamidbar18,במדבר,18,האחריות להיתנהלות תקינה של עבודות המקדש מוטלת על אהרן ובניו
bamidbar18,במדבר,18, תפקיד שבט לוי לעזור לכוהנים.
bamidbar18,במדבר,18,ההתראה שלא יתקרבו זרים למקדש/משכן היתה על המלכים
bamidbar18,במדבר,18,יש 24 מתנות כהונה
bamidbar18,במדבר,18,קדשי קודשים אינם נאכלים ע'י הכהנים
bamidbar18,במדבר,18,קרבנות מתנה נאכלים ע'י הכהנים ובני משפחתם בתנאי שהם טהורים
bamidbar18,במדבר,18,תרומה גדולה מותרת רק לכהנים זכרים
bamidbar18,במדבר,18,"מוזכרות כאן שלוש מתנות הניתנות לכהן מהצומח: שמן, יין ודגן"
bamidbar18,במדבר,18,"""חלה"" ו""תרומת מעשר"" לא נקראות תרומה"
bamidbar18,במדבר,18,בכור אדם נפדה בגיל חודש ב  5  שקלים
bamidbar18,במדבר,18,בכור בהמה טהורה בשרו נאכל ע'י הכהנים ובני משפחותיהם
bamidbar18,במדבר,18,הנחלה הגדולה ביותר ניתנה לשבט לוי
bamidbar18,במדבר,18,שבט לוי מקבל מעשר מכל יבול של ישראל
bamidbar18,במדבר,18,מעשר  =  10%
bamidbar18,במדבר,18,2 סיבות שנותנים מעשר ללוי: 1. כתמורה לעבודה במקדש. 2. אין להם נחלה
bamidbar18,במדבר,18,הלויים צריכים לדאוג שהכהנים לא יתקרבו למקדש/משכן
